tau,fuse_acc,fuse_f1,fuse_prec,fuse_rec,fuse_bal_acc
0.4920,0.890511,0.887218,0.880597,0.893939,0.890632

darknet2_tau,darknet2_acc,darknet2_f1
0.5000,0.875912,0.874074
hier4_tau,hier4_acc,hier4_f1
0.5000,0.868613,0.865672
