tau,fuse_acc,fuse_f1,fuse_prec,fuse_rec,fuse_bal_acc
0.3034,0.897810,0.892308,0.906250,0.878788,0.897140

darknet2_tau,darknet2_acc,darknet2_f1
0.5000,0.897810,0.890625
hier4_tau,hier4_acc,hier4_f1
0.5000,0.875912,0.866142
