epoch,train_loss,val_loss,val_acc,val_f1,test_acc,test_f1
1,1.583921338542033,1.2878616999516257,0.4089219272136688,0.2521074646074646,,
2,0.764535068455389,1.3653709135090994,0.4163568615913391,0.3062175599447505,,
3,0.7109687863770178,5.643502693969521,0.4163568615913391,0.18553442413939653,,
4,0.6617844761428187,0.8653140706200582,0.6059479713439941,0.4131017756444838,,
5,0.6047749943652395,2.2403753486264595,0.40148699283599854,0.22076430025164023,,
6,0.63046829680265,0.7206636516578135,0.6394051909446716,0.4863575509368838,,
7,0.5463771804914637,3.312622215668065,0.3531598448753357,0.13085399449035812,,
8,0.5201085967532659,1.0333160343666503,0.5985130071640015,0.4240670199108506,,
9,0.5451653114819931,0.6697729413837306,0.702602207660675,0.539033261824852,,
10,0.5124348073692645,2.527195875529463,0.35687732696533203,0.13675213675213677,,
11,0.4907426005702908,1.2892828377649244,0.553903341293335,0.41383206255689964,,
12,0.4740530919220488,1.212635338472611,0.5947955250740051,0.46371048419367744,,
13,0.5280413082090475,1.4443612772292806,0.4758364260196686,0.3325981030216493,,
14,0.49865943041898436,2.438711229476344,0.5576208233833313,0.3617977316814209,,
15,0.4553964587591462,4.072736623118801,0.35687732696533203,0.13566168679805043,,
16,0.39268406013310964,1.4184714932423985,0.5092936754226685,0.3629653892346326,,
17,0.4638606804912373,4.648140376440654,0.4795539081096649,0.32556259300445345,,
18,0.4539898164191489,0.7882538750269156,0.7137546539306641,0.538024086531739,,
19,0.3691621609663559,2.4563331409014735,0.44609665870666504,0.2894205890048551,,
20,0.36453706228126914,3.2045038299268063,0.49070632457733154,0.4031876292430226,,
21,0.3718367623070539,0.8559103630843216,0.613382875919342,0.47360584490824126,,
22,0.3436213065001924,2.5812568310025013,0.4349442422389984,0.2638262105391546,,
23,0.3147053375082501,7.2349330799508715,0.39405202865600586,0.3070913084897028,,
24,0.3586956984915976,2.9772461852176484,0.4349442422389984,0.2695699469104045,,
25,0.27511706897767924,3.3662791553483133,0.4349442422389984,0.2672762457668118,,
26,0.3014213013446937,2.6449334843008048,0.5055761933326721,0.3440224044540591,,
27,0.2921814544726226,2.7007965121459785,0.5873605608940125,0.45618905606142834,,
28,0.27098880076812487,3.444596994322029,0.42750927805900574,0.27462454715412393,,
29,0.2535947139485408,1.2464102197535418,0.6394051909446716,0.5286356374367849,,
30,0.19921592509342453,2.6772868039439603,0.4609665274620056,0.31469098269841317,,
31,0.17854578212156133,1.1511650240554243,0.643122673034668,0.5759534583063995,,
32,0.22155193656177843,2.130193967579909,0.5167286396026611,0.4816813511051864,,
33,0.18461329148987593,1.4815909383908523,0.6356877088546753,0.5267769906288423,,
34,0.18320270539340328,1.5492528176219047,0.6394051909446716,0.4932116806554756,,
35,0.18669633643101838,4.69367188015835,0.5464683771133423,0.43604910714285716,,
36,0.20898181351564699,3.1627096013065605,0.46468400955200195,0.2890558513190983,,
37,0.2339337346917492,2.6235197964210935,0.49070632457733154,0.32637946150800384,,
38,0.22058026555736185,1.4816394921350657,0.6505576372146606,0.5527041528449979,,
39,0.20668213208348063,1.7631376791177629,0.6096653938293457,0.4950893054756319,,
40,0.17529587094056404,0.6460984472226919,0.7286245226860046,0.6356446821152704,,
41,0.13352485152624421,1.2744824983816607,0.613382875919342,0.5033558133890498,,
42,0.1002388936862097,0.7677222543489535,0.732342004776001,0.6549282872188493,,
43,0.10726699283567526,0.7611176816947398,0.7137546539306641,0.5844503240560108,,
44,0.10289645586478507,1.253963608724034,0.6802973747253418,0.5813428023088931,,
45,0.09399506702261456,0.8077975938920638,0.6951673030853271,0.6373211856964348,,
46,0.07564469085911572,0.9407574603105566,0.721189558506012,0.6441336984764978,,
47,0.0846629616315082,1.8727444394813595,0.4423791766166687,0.3767836132211982,,
48,0.11385699197397393,3.0624371511674724,0.5576208233833313,0.4656485262394669,,
49,0.10299981095023074,1.1317605297583186,0.5724906921386719,0.5022447427200243,,
50,0.08550675345932023,2.1239145874533953,0.5576208233833313,0.4471768410805231,,
51,0.10141343598143529,1.3999218978403225,0.631970226764679,0.573481458052926,,
52,0.07260849244766317,1.7475597780876444,0.6654275059700012,0.5440050145932499,,
53,0.03697029482257568,1.02500421938843,0.7286245226860046,0.6749370040472021,,
54,0.03623344269344362,0.6890439383380919,0.8141263723373413,0.7587850996497423,,
55,0.06776634774218171,3.634600888563798,0.5799256563186646,0.446639756030909,,
56,0.06575316323314682,5.48553495867988,0.3717471957206726,0.1837407785704721,,
57,0.08491838546627659,1.6318435132448115,0.7063196897506714,0.6270543304976525,,
58,0.09384620126526234,1.8982950843399786,0.4944237768650055,0.42575864502470007,,
59,0.09358837935378995,1.2834703404885686,0.7249070405960083,0.6543798964330227,,
60,0.06218955514289565,4.27672876478571,0.44609665870666504,0.2872476704064133,,
61,0.17545845965712759,4.3481811207466405,0.5650557279586792,0.42699590984963787,,
62,0.1370319453841549,1.1623545585124022,0.7137546539306641,0.6465277777777778,,
63,0.08509014837317548,2.121703549277827,0.6765798926353455,0.6049906227647092,,
64,0.04893501450197171,0.8535522426371238,0.7546468377113342,0.6932051830346495,,
65,0.030326038093890173,2.0863087629296966,0.5724906921386719,0.4678624123785414,,
66,0.02665537480517464,0.9746364090854793,0.7732341885566711,0.7207204143374356,,
67,0.015740576310683103,0.7925478878074419,0.7992565035820007,0.7502622126362769,,
68,0.018770165283674912,0.8038689806004883,0.7918215394020081,0.7460250204702682,,
69,0.012010211582784936,0.791141826534803,0.7955390214920044,0.7415775401069519,,
70,0.007160744077320826,0.896947102918944,0.7955390214920044,0.7394082498003043,,
71,0.012931132918002746,0.9112103307086518,0.7918215394020081,0.7247057172542092,,
72,0.013722351981105945,0.9141390830776949,0.7918215394020081,0.7475126139648163,,
73,0.009635296610768064,0.8250229805707932,0.8178438544273376,0.7620077681430029,,
74,0.016149917207026885,0.804156400900348,0.7769516706466675,0.7217038099050451,,
75,0.01318352750770874,0.8241780650867738,0.821561336517334,0.7737475851773797,,
76,0.006889775896571197,0.8075658265764385,0.8141263723373413,0.7526028997800928,,
77,0.006051593235204533,0.7564789021325378,0.821561336517334,0.766661540419407,,
78,0.00993355008442018,0.817170601919792,0.8141263723373413,0.7647440247838379,,
79,0.01028801403324104,0.9242200089210028,0.7732341885566711,0.7024710754145728,,
80,0.017234927390591574,0.938642806612426,0.7695167064666748,0.7024880382775119,,
81,0.010199854446385624,1.1253247991166178,0.7955390214920044,0.7322620294037812,,
82,0.008337795515386862,0.8387229064250967,0.7620818018913269,0.6841197681485742,,
83,0.007617674120780775,0.8987848767560654,0.7843866348266602,0.7028433348173759,,
84,0.0076142624730907256,0.910375071280951,0.7843866348266602,0.725143525325542,,
85,0.013070059782367641,0.8622723879867327,0.8029739856719971,0.7220970893129787,,
86,0.014749417156454617,0.8489982363937568,0.8029739856719971,0.7508249149698827,,
87,0.0050910814898088574,0.8592827266366065,0.821561336517334,0.7786426769211029,,
88,0.005791303350479673,0.8570844782412496,0.821561336517334,0.7724613927738927,,
89,0.008529242250468519,0.9214138787059757,0.7955390214920044,0.740540975824772,,
90,0.005692237552050185,0.8430387304341039,0.8252788186073303,0.77634812965095,,
91,0.007275682864158209,0.81895788822697,0.8252788186073303,0.7747763659258533,,
92,0.004384784390992027,0.8428156468532564,0.8066914677619934,0.7606280393457118,,
93,0.00752898018069218,0.850225799588909,0.8178438544273376,0.7737795292942351,,
94,0.0049691711635313045,0.8814435364699275,0.7992565035820007,0.7486943311235764,,
95,0.005191899334885559,0.9026082950232197,0.8141263723373413,0.7613184271324361,,
96,0.006787937378187238,0.8829697167092317,0.8141263723373413,0.7658290750854347,,
97,0.006655996146422448,0.8776026058138857,0.8029739856719971,0.7506022713108437,,
98,0.0028407187141888477,0.8746088565393009,0.8141263723373413,0.7619907429825835,,
99,0.003657688850426447,0.9294244225472765,0.7992565035820007,0.7365015092915645,,
100,0.008853457971689118,0.9114690791109238,0.8066914677619934,0.7481955585468018,,
101,0.00416811618320565,0.8495307857773118,0.8066914677619934,0.7503892704340275,,
102,0.004218667786039601,0.8295780651299041,0.8252788186073303,0.770358287133703,,
103,0.0033489365241158816,0.8373160092333214,0.8141263723373413,0.7655879739336492,,
104,0.004578973227811946,0.8614696238508455,0.8178438544273376,0.7672309474708943,,
105,0.004360656153363318,0.8678355848755979,0.8252788186073303,0.7764398749337496,,
106,0.0021490503311693923,0.8762198077951,0.821561336517334,0.7817567886297543,,
107,0.003019621828570962,0.8755940995750374,0.821561336517334,0.7657392967284532,,
108,0.005817824603705588,0.8885013813007498,0.8141263723373413,0.7632359472307613,,
109,0.004730902590504769,0.8734499851594849,0.8178438544273376,0.7632436499913797,,
110,0.005494759307574417,0.9110072186514458,0.8252788186073303,0.7702096431694216,,
111,0.003138097453965032,0.9050244427663464,0.8066914677619934,0.7526411789172502,,
112,0.00412685042385296,0.8784500235296979,0.8029739856719971,0.7441308618636628,,
113,0.005991409642235139,0.8578283025928146,0.8066914677619934,0.7446118082513316,,
114,0.002341982502079869,0.9005262878304521,0.8141263723373413,0.7664278902319815,,
115,0.0034122234190640563,0.8932058867551802,0.8066914677619934,0.7567222982711878,,
116,0.0044152479662196865,0.9199703544772968,0.8141263723373413,0.7615259821654646,,
117,0.004812163313637661,0.879277275338575,0.810408890247345,0.7595236990876952,,
118,0.005033599195993995,0.9197435474826445,0.8029739856719971,0.7529452029452028,,
119,0.0032200612407966944,0.880622447374862,0.8066914677619934,0.752010947361572,,
120,0.002216553299735158,0.8757955172137257,0.8066914677619934,0.753055467278616,,
121,0.0027739186297660156,0.888503427786898,0.8066914677619934,0.753055467278616,,
122,0.0033362766442192973,0.8779582428749387,0.8141263723373413,0.7634982913146258,,
123,0.0036183698300145946,0.8823582682495446,0.810408890247345,0.7556682091146043,,
124,0.005517404059824234,0.8674043172132571,0.8178438544273376,0.7684829226716716,,
125,0.0027765450738686122,0.8646415239234617,0.810408890247345,0.7588995665200484,,
126,0.002748919066862535,0.8579819797361651,0.810408890247345,0.7604877203406615,,
127,0.0052512069331418915,0.8737998455416647,0.8141263723373413,0.7640118766182595,,
128,0.0037614802032772264,0.8700315787363451,0.8141263723373413,0.7640842571465983,,
129,0.002821750348923191,0.8748652875478826,0.8141263723373413,0.7654968603261927,,
130,0.0030711987381406383,0.8843057141968198,0.821561336517334,0.774438909821741,,
131,0.003164108716330286,0.8943282948342952,0.8252788186073303,0.7769710366397038,,
132,0.0048138156579610085,0.8967434614135098,0.8178438544273376,0.7699501642315097,,
133,0.0050703753427191935,0.8828166523345895,0.8178438544273376,0.7675691655510933,,
134,0.003551572431036729,0.8779471756814249,0.821561336517334,0.773333147430356,,
135,0.0028205932033153534,0.9208667699289145,0.8178438544273376,0.7723125043212159,,
136,0.004155211398275412,0.9086094278232869,0.821561336517334,0.7770318391286134,,
137,0.0024777615952929007,0.9258744036259483,0.8141263723373413,0.7674851179209627,,
138,0.002976800378222587,0.9229342885987079,0.810408890247345,0.7628914597852302,,
139,0.003307382859313324,0.9327205772473577,0.8141263723373413,0.7677171324285855,,
140,0.0020452326087683627,0.9290538322956035,0.8141263723373413,0.7677171324285855,,
141,0.0020742250618256504,0.9127680776938519,0.8141263723373413,0.7665781151170146,,
142,0.001963789183626709,0.9242021019837117,0.8141263723373413,0.7677171324285855,,
143,0.004232280181278869,0.9273481523915849,0.8141263723373413,0.7677171324285855,,
144,0.0027575305232904472,0.920083869214007,0.8141263723373413,0.7687004753771186,,
145,0.006009627351146665,0.9138338225357041,0.8141263723373413,0.7665781151170146,,
146,0.002377049577169878,0.9043355705458879,0.8141263723373413,0.7665781151170146,,
147,0.0028099558627927455,0.9278608077486153,0.8066914677619934,0.7575324100303271,,
148,0.004083147468795147,0.9239722133984575,0.8141263723373413,0.7677171324285855,,
149,0.0034144388421012434,0.912576081515134,0.8066914677619934,0.7564372245329982,,
150,0.003235988182773403,0.9139406805733378,0.810408890247345,0.7599858462486314,,
151,0.002257942151025695,0.9126961220498976,0.810408890247345,0.7599858462486314,,
152,0.0068185540464690934,0.9053111105160199,0.8066914677619934,0.7553999211977935,,
153,0.004095360625858845,0.8979256444967258,0.810408890247345,0.7604877203406615,,
154,0.003293315540620331,0.9061146256441188,0.8141263723373413,0.7665781151170146,,
155,0.004444379459127342,0.9008491775817256,0.8141263723373413,0.766144864951819,,
156,0.0043492631856509945,0.9038110524138997,0.810408890247345,0.761547803872282,,
157,0.005330301015203724,0.9146663941318328,0.8141263723373413,0.7672611003020242,,
158,0.002604317234758035,0.9013300648575379,0.8178438544273376,0.77009558512077,,
159,0.0035371216205422277,0.9074485585661294,0.8066914677619934,0.7564372245329982,,
160,0.0036845264563700026,0.9160018325766002,0.810408890247345,0.7626657284093938,,
best,,,,0.7817567886297543,0.7883211374282837,0.7325757575757575
