epoch,train_loss,val_acc,val_f1,val_precision,val_recall,val_thr,test_acc,test_f1,test_precision,test_recall,test_thr
1,0.6636728886830605,0.7434944237918215,0.7628865979381443,0.6894409937888198,0.8538461538461538,0.45000000000000023,,,,,
2,0.5869386186033992,0.8066914498141264,0.792,0.825,0.7615384615384615,0.45000000000000023,,,,,
3,0.5432013182316796,0.7881040892193308,0.8041237113402062,0.7267080745341615,0.9,0.36000000000000015,,,,,
4,0.5171781899565357,0.7806691449814126,0.8013468013468014,0.7125748502994012,0.9153846153846154,0.3000000000000001,,,,,
5,0.49956320706060375,0.7992565055762082,0.8014705882352942,0.7676056338028169,0.8384615384615385,0.3300000000000001,,,,,
6,0.47626497432336967,0.8178438661710037,0.8205128205128205,0.7832167832167832,0.8615384615384616,0.4400000000000002,,,,,
7,0.46291959992909837,0.8141263940520446,0.8134328358208955,0.7898550724637681,0.8384615384615385,0.34000000000000014,,,,,
8,0.4561157479124554,0.828996282527881,0.823076923076923,0.823076923076923,0.823076923076923,0.45000000000000023,,,,,
9,0.4478927143549515,0.8178438661710037,0.8150943396226416,0.8,0.8307692307692308,0.4200000000000002,,,,,
10,0.4450539734403966,0.8215613382899628,0.816793893129771,0.8106060606060606,0.823076923076923,0.4300000000000002,,,,,
11,0.44225553839893667,0.8252788104089219,0.8252788104089219,0.7985611510791367,0.8538461538461538,0.5000000000000002,,,,,
12,0.4308437705039978,0.8104089219330854,0.8210526315789474,0.7548387096774194,0.9,0.38000000000000017,,,,,
13,0.42597073720673384,0.8104089219330854,0.8145454545454546,0.7724137931034483,0.8615384615384616,0.2900000000000001,,,,,
14,0.43610395667916635,0.8215613382899628,0.816793893129771,0.8106060606060606,0.823076923076923,0.25000000000000006,,,,,
15,0.4276830447932421,0.8215613382899628,0.8235294117647058,0.7887323943661971,0.8615384615384616,0.3200000000000001,,,,,
16,0.42160530716685923,0.8327137546468402,0.8262548262548263,0.8294573643410853,0.823076923076923,0.48000000000000026,,,,,
17,0.41857169846356923,0.8327137546468402,0.8339483394833949,0.8014184397163121,0.8692307692307693,0.5400000000000003,,,,,
18,0.4185304389161579,0.8327137546468402,0.8327137546468402,0.8057553956834532,0.8615384615384616,0.6000000000000003,,,,,
19,0.4149569515454567,0.8364312267657993,0.837037037037037,0.8071428571428572,0.8692307692307693,0.5300000000000002,,,,,
20,0.413625964673899,0.8104089219330854,0.8158844765342961,0.7687074829931972,0.8692307692307693,0.23000000000000004,,,,,
21,0.4045509549520783,0.8252788104089219,0.8303249097472925,0.782312925170068,0.8846153846153846,0.38000000000000017,,,,,
22,0.39312667361760545,0.8252788104089219,0.8303249097472925,0.782312925170068,0.8846153846153846,0.48000000000000026,,,,,
23,0.40354779312166117,0.8252788104089219,0.8252788104089219,0.7985611510791367,0.8538461538461538,0.48000000000000026,,,,,
24,0.38860047217142785,0.8401486988847584,0.8352490421455939,0.8320610687022901,0.8384615384615385,0.4000000000000002,,,,,
25,0.38841621855557973,0.828996282527881,0.8296296296296296,0.8,0.8615384615384616,0.3300000000000001,,,,,
26,0.385147838774374,0.828996282527881,0.8321167883211679,0.7916666666666666,0.8769230769230769,0.5300000000000002,,,,,
27,0.4007193516876738,0.8252788104089219,0.8265682656826568,0.7943262411347518,0.8615384615384616,0.2700000000000001,,,,,
28,0.39434342465158234,0.8401486988847584,0.8377358490566038,0.8222222222222222,0.8538461538461538,0.3900000000000002,,,,,
29,0.37845292535878844,0.828996282527881,0.8257575757575758,0.8134328358208955,0.8384615384615385,0.3200000000000001,,,,,
30,0.3859462475372573,0.8364312267657993,0.837037037037037,0.8071428571428572,0.8692307692307693,0.45000000000000023,,,,,
31,0.37253826199951817,0.8401486988847584,0.8377358490566038,0.8222222222222222,0.8538461538461538,0.4200000000000002,,,,,
32,0.37580119149159574,0.8327137546468402,0.8327137546468402,0.8057553956834532,0.8615384615384616,0.3300000000000001,,,,,
33,0.3841331434451928,0.8364312267657993,0.8382352941176471,0.8028169014084507,0.8769230769230769,0.47000000000000025,,,,,
34,0.36895406902846645,0.8401486988847584,0.8352490421455939,0.8320610687022901,0.8384615384615385,0.3900000000000002,,,,,
35,0.37528376710616934,0.8438661710037175,0.8409090909090909,0.8283582089552238,0.8538461538461538,0.38000000000000017,,,,,
36,0.36484106566946384,0.8364312267657993,0.8382352941176471,0.8028169014084507,0.8769230769230769,0.47000000000000025,,,,,
37,0.38092803854053303,0.8401486988847584,0.8401486988847584,0.8129496402877698,0.8692307692307693,0.5500000000000003,,,,,
38,0.36910224971124683,0.8401486988847584,0.8365019011406845,0.8270676691729323,0.8461538461538461,0.3900000000000002,,,,,
39,0.3698905307357594,0.8364312267657993,0.8345864661654135,0.8161764705882353,0.8538461538461538,0.3200000000000001,,,,,
40,0.3832130725100889,0.8252788104089219,0.8265682656826568,0.7943262411347518,0.8615384615384616,0.25000000000000006,,,,,
