epoch,train_loss,val_loss,val_acc,val_f1,test_acc,test_f1
1,0.8139616685398554,0.6348407654070943,0.7434944237918215,0.7183673469387756,,
2,0.5640079924615763,0.5678451114427645,0.758364312267658,0.7302904564315352,,
3,0.5540067083754782,0.5504827120490233,0.7472118959107806,0.7518248175182481,,
4,0.527031319121183,0.5501943071092371,0.7472118959107806,0.728,,
5,0.5403634729021687,0.5512799157529072,0.7769516728624535,0.7540983606557378,,
6,0.5255544119972294,0.5147365442439082,0.7769516728624535,0.7656250000000001,,
7,0.5280743675716852,0.535324220985285,0.7695167286245354,0.7785714285714286,,
8,0.5118748954797195,0.6303665141633895,0.7806691449814126,0.7591836734693878,,
9,0.5295134994943264,0.5416837031070184,0.7732342007434945,0.7607843137254902,,
10,0.5080002839282408,0.5570779501505501,0.7137546468401487,0.744186046511628,,
11,0.5028030392477068,0.5370014797356049,0.7509293680297398,0.7598566308243728,,
12,0.4906072096299317,0.5202308272783641,0.7806691449814126,0.7531380753138075,,
13,0.49433096889722145,0.5124209995163418,0.79182156133829,0.7704918032786885,,
14,0.48307352753008825,0.5240286278458776,0.7657992565055762,0.7789473684210526,,
15,0.4828026557372788,0.5436732627202144,0.7769516728624535,0.7619047619047619,,
16,0.48750519499940387,0.5048035496229576,0.7657992565055762,0.7509881422924901,,
17,0.4720714769120944,0.531787885830748,0.7509293680297398,0.7563636363636363,,
18,0.48035084948701373,0.5005176787482761,0.7769516728624535,0.7872340425531914,,
19,0.48685687679355427,0.5267749377786005,0.7695167286245354,0.7703703703703704,,
20,0.46962335958319196,0.5870030411557194,0.7881040892193308,0.7654320987654322,,
21,0.45527313927472646,0.48598913144888045,0.7881040892193308,0.7849056603773585,,
22,0.45459898346561495,0.47424873454863253,0.7806691449814126,0.7806691449814126,,
23,0.440736776186248,0.45086144980001625,0.8029739776951673,0.7937743190661478,,
24,0.43654570286556826,0.4553036807194962,0.7992565055762082,0.7923076923076923,,
25,0.436927033683001,0.44240205549396105,0.8029739776951673,0.792156862745098,,
26,0.4458390120732582,0.46264239314763517,0.7992565055762082,0.7874015748031495,,
27,0.44772465400776623,0.44487863003542877,0.7992565055762082,0.7938931297709925,,
28,0.43172626727718416,0.44391015360346514,0.8104089219330854,0.8045977011494252,,
29,0.4259284664008577,0.5780711271505816,0.8066914498141264,0.7919999999999999,,
30,0.4180532986834898,0.45223049182430963,0.7881040892193308,0.7865168539325842,,
31,0.40729327474610283,0.4536927165151972,0.7955390334572491,0.7876447876447876,,
32,0.40631894337928903,0.44001484559814286,0.79182156133829,0.787878787878788,,
33,0.4002957051083193,0.4310055441572764,0.8104089219330854,0.8030888030888031,,
34,0.3910635851197324,0.4281029145070611,0.79182156133829,0.7956204379562044,,
