epoch,train_loss,val_acc,val_macro_f1,val_precision_macro,val_recall_macro,test_acc,test_macro_f1
1,1.2618141295546192,0.5241635687732342,0.3799603385658061,0.3918560606060606,0.4179855530264319,,
2,1.1119740150742612,0.5687732342007435,0.490594906426019,0.5649013577002707,0.4745595539795846,,
3,1.0360276436401625,0.6171003717472119,0.5399120664386907,0.5938944630248978,0.5333217630228361,,
4,0.998146629939645,0.6096654275092936,0.5520854783354783,0.5847613399286629,0.5485548295078189,,
5,0.9688127303527574,0.620817843866171,0.5544167144900208,0.5792866900409379,0.5495315099556285,,
6,0.9293326028322769,0.6394052044609665,0.5626724513615843,0.6032893270944741,0.5523123201010273,,
7,0.9285128379272203,0.654275092936803,0.5634562322062322,0.5926071994037183,0.5587664242493062,,
8,0.9120749346280502,0.6096654275092936,0.5736061088879008,0.5990052185257665,0.5774701752665472,,
9,0.9067247823133306,0.6133828996282528,0.5503028766724534,0.5891019878134053,0.545613131829279,,
10,0.891238626787218,0.6282527881040892,0.557315605358107,0.6082998740355849,0.5492213912244571,,
11,0.8653423675036026,0.6765799256505576,0.5988927857012963,0.6310702873138658,0.584218139494072,,
12,0.8668579428882922,0.6022304832713755,0.5707016758093668,0.6070750311332502,0.5743212658005709,,
13,0.8577753537792271,0.6133828996282528,0.5635692211797549,0.5906754012948703,0.5641189617173266,,
14,0.8621478111056958,0.6431226765799256,0.5560684718698995,0.5834947450256512,0.5623031756846268,,
15,0.8634456870919567,0.620817843866171,0.5536464326812428,0.5968055287585482,0.547621656008217,,
16,0.8336207169597432,0.5985130111524164,0.5634027257743284,0.5820683169518263,0.579323661586053,,
17,0.8420727242857723,0.6617100371747212,0.6140879071903192,0.6342716214211541,0.6089980240146311,,
18,0.8226369144552845,0.6505576208178439,0.5751039501039501,0.5889795030050726,0.576717051282713,,
19,0.8300233473212032,0.6877323420074349,0.6035848758107895,0.6147870659761829,0.5995581345734642,,
20,0.811680630101996,0.6654275092936803,0.5904301511660381,0.6039697583683584,0.5892716338998915,,
21,0.804518829968016,0.6579925650557621,0.6104593745651308,0.6293774537927621,0.6043381782395579,,
22,0.7854449506533348,0.6654275092936803,0.6019699656067576,0.615613962825138,0.5949633234060929,,
23,0.7898627064995847,0.6468401486988847,0.5813111296528067,0.5828971748359391,0.5862864292731436,,
24,0.7757354469622596,0.6802973977695167,0.6110450210234848,0.6226452790096083,0.6050808502328686,,
25,0.7759576995494002,0.6617100371747212,0.6202599885928222,0.6449148439280018,0.6201926865314704,,
26,0.7715611356799885,0.6802973977695167,0.6285529160866088,0.6442038472280408,0.625410552467272,,
27,0.7710193446127035,0.654275092936803,0.611298399261623,0.632372395291288,0.609033444649183,,
28,0.7704766806909593,0.6579925650557621,0.5906042948911983,0.5989947552447552,0.5909265323994501,,
29,0.7594781204805536,0.6914498141263941,0.6345335144927535,0.6565552088985349,0.624767755050075,,
30,0.7562968367237156,0.654275092936803,0.6104553492484527,0.6228854011957087,0.6179797678711834,,
31,0.7584077594643932,0.6579925650557621,0.6064222630411444,0.6155332291470905,0.6102342622271084,,
32,0.757207350205567,0.6319702602230484,0.5988839506452623,0.6251260398921399,0.6086995616185703,,
33,0.7567683882632498,0.6691449814126395,0.6293200398281102,0.6548646907216495,0.627688505735261,,
34,0.7480160270707082,0.6394052044609665,0.6012949416118406,0.6227452295766249,0.6080666355257566,,
35,0.7411595542552107,0.7137546468401487,0.6467774427961616,0.671331736870552,0.6322084109705469,,
36,0.7453499779862872,0.6505576208178439,0.6023199986846215,0.6089972527472527,0.6125023441707141,,
37,0.7594477443371789,0.6468401486988847,0.611168434562098,0.6366283865324786,0.6194302718893929,,
38,0.7602786250033621,0.6691449814126395,0.602372487456521,0.6071214089616629,0.6006451415879112,,
39,0.7257278682821888,0.6282527881040892,0.5948374981944244,0.6215262977171545,0.6009894766090473,,
40,0.7338333089472884,0.7174721189591078,0.6465382205513783,0.6632417603743873,0.6354531733619624,,
41,0.7226727715993332,0.6914498141263941,0.6353547903911981,0.6491680201224301,0.6312770224816725,,
42,0.7168750338635203,0.6765799256505576,0.636547294534551,0.666419024604275,0.6327472691486489,,
43,0.7150840860302166,0.6802973977695167,0.6301129688983808,0.645204323396736,0.6296871585898158,,
44,0.7218519115852098,0.6802973977695167,0.6151523013618818,0.6283195970695971,0.6079266949859694,,
